SWIS_SBL_ID,PROP_CLASS,zcta,gfa,E_fleet_ev
50280100500000010030000000,651,13073,0.0,0.0
50280100500000010070000000,483,13073,3290.0,0.013
50280100500000020140010000,484,13073,11968.0,0.046
50280100500000020060000000,650,13073,2640.0,0.01
50280100500000020050000000,483,13073,2065.0,0.008
50280100500000030010000000,620,13073,3896.0,0.015
50280100300000010020000000,695,13073,836.0,0.003
50328901900000010210030000,472,13073,14532.0,0.056
50328900800000010240010000,695,13073,0.0,0.0
50328900800000010190020000,455,13073,2044.0,0.008
50328900800000010160000000,422,13073,2980.0,0.012
50328900700000010220000000,695,13073,0.0,0.0
50328900800000010290000000,534,13073,1760.0,0.007
50328902000000010080010000,695,13073,0.0,0.0
50328902000000010150010000,695,13073,0.0,0.0
50328902000000010280000000,695,13073,0.0,0.0
50328902800000010010000099,837,13073,0.0,0.0
50328903000000010262320000,465,13073,2756.0,0.011
50328903000000010300010000,682,13073,2000.0,0.008
50328903000000010260270000,712,13073,4800.0,0.019
50328903000000010282130000,440,13073,4080.0,0.016
50328903000000010282120000,440,13073,3240.0,0.013
50288903800000040050000000,483,13102,3880.0,0.404
50288903800000030030000000,620,13102,5718.0,0.596
50200001400000010240000000,695,14817,0.0,0.0
50200001500000010070000000,720,14817,0.0,0.0
50200001500000010240000000,720,14817,0.0,0.0
50200001500000010060000000,720,14817,0.0,0.0
50200001500000010100000000,620,14817,18696.0,0.331
50200001500000010140000000,620,14817,3612.0,0.064
50200001000000040010000000,695,14817,0.0,0.0
50200003300000010060000000,695,14817,0.0,0.0
50200001500000010580000099,837,14817,0.0,0.0
50200002400000010190020000,613,14817,0.0,0.0
50200001700000010292510000,472,14817,4800.0,0.085
50200002200000010280000000,695,14817,0.0,0.0
50200002100000010270000000,620,14817,2592.0,0.046
50200002100000010030020991,837,14817,0.0,0.0
50200002100000010030020992,837,14817,0.0,0.0
50200002100000010260000000,695,14817,0.0,0.0
50200000700000010410000000,695,14817,0.0,0.0
50200000800000010640000000,449,14817,11034.0,0.195
50200000800000010140000000,449,14817,6424.0,0.114
50200000300000040040000000,472,14817,1632.0,0.029
50200000300000040010000000,831,14817,1440.0,0.025
50200000800000010230000000,695,14817,0.0,0.0
50200000800000010410000000,692,14817,0.0,0.0
50200000900000010290020000,484,14817,7968.0,0.141
50200000800000010480020000,651,14817,5220.0,0.092
50200000800000010470020000,651,14817,1536.0,0.027
50200000900000010350240000,662,14817,10599.0,0.188
50200001000000020020000000,695,14817,0.0,0.0
50200001000000030150020000,682,14817,0.0,0.0
50200001000000030150010000,682,14817,0.0,0.0
50200001000000050100020000,620,14817,2364.0,0.042
50200001000000050080000000,682,14817,6413.0,0.113
50200001200000010240000000,484,14817,3295.0,0.058
50200001200000010320000000,483,14817,2544.0,0.045
50200001100000010140000000,485,14817,4264.0,0.075
50200001400000010140000000,872,14817,0.0,0.0
50200001200000010010130000,714,14817,3200.0,0.057
50200001200000010010120000,442,14817,8148.0,0.144
50200001300000010270000000,695,14817,0.0,0.0
50200002100000010120060000,877,14817,0.0,0.0
50200003100000010010050000,670,14817,59300.0,1.049
50220001200000010080010000,455,14817,4479.0,0.079
50200000100000010440000000,695,14850,0.0,0.0
50200000900000010393210000,424,14850,10004.0,0.075
50200000900000010170010000,620,14850,18268.0,0.136
50200000900000010590000000,485,14850,10900.0,0.081
50200000100000010420000000,433,14850,2196.0,0.016
50200000100000010430000000,449,14850,8146.0,0.061
50200001100000010020020000,484,14850,2617.0,0.02
50200000900000010680020000,877,14850,0.0,0.0
50200000900000010070040000,442,14850,20400.0,0.152
50300100700000010010000000,853,14850,5524.0,0.041
50300101300000060070000000,590,14850,0.0,0.0
50300101500000010010020000,695,14850,0.0,0.0
50300101400000080010000000,620,14850,19872.0,0.148
50300101400000060030000000,613,14850,16264.0,0.121
50300101400000060010000000,613,14850,25532.0,0.191
50300101400000040020020000,613,14850,95704.0,0.715
50300101100000020250000000,822,14850,0.0,0.0
50300101100000020240000000,651,14850,6560.0,0.049
50300100900000060010000000,612,14850,49223.0,0.368
50300101000000030030000000,483,14850,1472.0,0.011
50300101000000030050040000,485,14850,7616.0,0.057
50300101000000030060000000,465,14850,5500.0,0.041
50300101000000040030000000,662,14850,17084.0,0.128
50300101000000040020000000,883,14850,100.0,0.001
50300101000000040010020000,452,14850,51495.0,0.385
50300101000000040010020001,462,14850,2540.0,0.019
50300101000000040010020002,465,14850,28200.0,0.211
50300100500000030180020000,486,14850,1210.0,0.009
50300100500000030180030000,652,14850,4510.0,0.034
