dataset,port_type,day_type,hour,energy_share
palo_alto_public,L2,weekend,21,0.0407
palo_alto_public,L2,weekend,22,0.0276
palo_alto_public,L2,weekend,23,0.0195
workplace_midwest,L2,weekday,0,0.0016
workplace_midwest,L2,weekday,1,0.0013
workplace_midwest,L2,weekday,2,0.0008
workplace_midwest,L2,weekday,3,0.0005
workplace_midwest,L2,weekday,4,0.0004
workplace_midwest,L2,weekday,5,0.0003
workplace_midwest,L2,weekday,6,0.0003
workplace_midwest,L2,weekday,7,0.0002
workplace_midwest,L2,weekday,8,0.0005
workplace_midwest,L2,weekday,9,0.0266
workplace_midwest,L2,weekday,10,0.0509
workplace_midwest,L2,weekday,11,0.1012
workplace_midwest,L2,weekday,12,0.1415
workplace_midwest,L2,weekday,13,0.1285
workplace_midwest,L2,weekday,14,0.0944
workplace_midwest,L2,weekday,15,0.0522
workplace_midwest,L2,weekday,16,0.0626
workplace_midwest,L2,weekday,17,0.1077
workplace_midwest,L2,weekday,18,0.1041
workplace_midwest,L2,weekday,19,0.0684
workplace_midwest,L2,weekday,20,0.0362
workplace_midwest,L2,weekday,21,0.0137
workplace_midwest,L2,weekday,22,0.0041
workplace_midwest,L2,weekday,23,0.0021
workplace_midwest,L2,weekend,0,0.0117
workplace_midwest,L2,weekend,1,0.0203
workplace_midwest,L2,weekend,2,0.0273
workplace_midwest,L2,weekend,3,0.0171
workplace_midwest,L2,weekend,4,0.0453
workplace_midwest,L2,weekend,5,0.0617
workplace_midwest,L2,weekend,6,0.0449
workplace_midwest,L2,weekend,7,0.0395
workplace_midwest,L2,weekend,8,0.0367
workplace_midwest,L2,weekend,9,0.0142
workplace_midwest,L2,weekend,10,0.1315
workplace_midwest,L2,weekend,11,0.1481
workplace_midwest,L2,weekend,12,0.0791
workplace_midwest,L2,weekend,13,0.0806
workplace_midwest,L2,weekend,14,0.0615
workplace_midwest,L2,weekend,15,0.037
workplace_midwest,L2,weekend,16,0.0286
workplace_midwest,L2,weekend,17,0.0234
workplace_midwest,L2,weekend,18,0.0345
workplace_midwest,L2,weekend,19,0.0271
workplace_midwest,L2,weekend,20,0.0081
workplace_midwest,L2,weekend,21,0.0133
workplace_midwest,L2,weekend,22,0.0052
workplace_midwest,L2,weekend,23,0.0033
boulder_public,L2,all,0,0.0099
boulder_public,L2,all,1,0.0082
boulder_public,L2,all,2,0.0064
boulder_public,L2,all,3,0.005
boulder_public,L2,all,4,0.004
boulder_public,L2,all,5,0.0048
boulder_public,L2,all,6,0.0135
boulder_public,L2,all,7,0.0272
boulder_public,L2,all,8,0.047
boulder_public,L2,all,9,0.0704
boulder_public,L2,all,10,0.0794
boulder_public,L2,all,11,0.0823
boulder_public,L2,all,12,0.0821
boulder_public,L2,all,13,0.0801
boulder_public,L2,all,14,0.074
boulder_public,L2,all,15,0.066
boulder_public,L2,all,16,0.0614
boulder_public,L2,all,17,0.0621
boulder_public,L2,all,18,0.0653
boulder_public,L2,all,19,0.058
boulder_public,L2,all,20,0.0405
boulder_public,L2,all,21,0.0245
boulder_public,L2,all,22,0.0158
boulder_public,L2,all,23,0.012
dundee_public,DCFC,all,0,0.0213
dundee_public,DCFC,all,1,0.0219
dundee_public,DCFC,all,2,0.0203
dundee_public,DCFC,all,3,0.0128
dundee_public,DCFC,all,4,0.0126
dundee_public,DCFC,all,5,0.0116
dundee_public,DCFC,all,6,0.013
dundee_public,DCFC,all,7,0.0196
dundee_public,DCFC,all,8,0.0341
dundee_public,DCFC,all,9,0.0481
dundee_public,DCFC,all,10,0.0574
dundee_public,DCFC,all,11,0.063
dundee_public,DCFC,all,12,0.0684
dundee_public,DCFC,all,13,0.0706
dundee_public,DCFC,all,14,0.0726
dundee_public,DCFC,all,15,0.0707
dundee_public,DCFC,all,16,0.0646
dundee_public,DCFC,all,17,0.0588
dundee_public,DCFC,all,18,0.0523
dundee_public,DCFC,all,19,0.0492
dundee_public,DCFC,all,20,0.0513
dundee_public,DCFC,all,21,0.0467
dundee_public,DCFC,all,22,0.0335
dundee_public,DCFC,all,23,0.0256
dundee_public,L2,all,0,0.0215
dundee_public,L2,all,1,0.022
dundee_public,L2,all,2,0.0229
dundee_public,L2,all,3,0.0232
dundee_public,L2,all,4,0.0243
dundee_public,L2,all,5,0.0251
dundee_public,L2,all,6,0.0257
dundee_public,L2,all,7,0.028
dundee_public,L2,all,8,0.0334
dundee_public,L2,all,9,0.0489
dundee_public,L2,all,10,0.0641
dundee_public,L2,all,11,0.0723
dundee_public,L2,all,12,0.0749
dundee_public,L2,all,13,0.0757
dundee_public,L2,all,14,0.0739
dundee_public,L2,all,15,0.0648
dundee_public,L2,all,16,0.0546
dundee_public,L2,all,17,0.0451
dundee_public,L2,all,18,0.0415
dundee_public,L2,all,19,0.0397
dundee_public,L2,all,20,0.037
dundee_public,L2,all,21,0.0324
dundee_public,L2,all,22,0.0263
dundee_public,L2,all,23,0.0226
dundee_public,other,all,0,0.0235
dundee_public,other,all,1,0.0231
dundee_public,other,all,2,0.018
dundee_public,other,all,3,0.0183
dundee_public,other,all,4,0.022
dundee_public,other,all,5,0.0254
dundee_public,other,all,6,0.0227
dundee_public,other,all,7,0.0297
dundee_public,other,all,8,0.0413
dundee_public,other,all,9,0.0407
dundee_public,other,all,10,0.0481
dundee_public,other,all,11,0.0559
dundee_public,other,all,12,0.0683
dundee_public,other,all,13,0.0603
dundee_public,other,all,14,0.0607
dundee_public,other,all,15,0.0657
dundee_public,other,all,16,0.0606
dundee_public,other,all,17,0.0561
dundee_public,other,all,18,0.0554
dundee_public,other,all,19,0.0514
dundee_public,other,all,20,0.0474
dundee_public,other,all,21,0.0413
dundee_public,other,all,22,0.0352
dundee_public,other,all,23,0.0289
norway_residential_7kW,L2_home,all,0,0.0554
norway_residential_7kW,L2_home,all,1,0.0408
norway_residential_7kW,L2_home,all,2,0.0282
norway_residential_7kW,L2_home,all,3,0.0204
norway_residential_7kW,L2_home,all,4,0.0175
norway_residential_7kW,L2_home,all,5,0.0112
norway_residential_7kW,L2_home,all,6,0.0064
norway_residential_7kW,L2_home,all,7,0.006
norway_residential_7kW,L2_home,all,8,0.0095
norway_residential_7kW,L2_home,all,9,0.0121
norway_residential_7kW,L2_home,all,10,0.0142
norway_residential_7kW,L2_home,all,11,0.0187
norway_residential_7kW,L2_home,all,12,0.0227
norway_residential_7kW,L2_home,all,13,0.0267
norway_residential_7kW,L2_home,all,14,0.0354
norway_residential_7kW,L2_home,all,15,0.0505
norway_residential_7kW,L2_home,all,16,0.0713
norway_residential_7kW,L2_home,all,17,0.0812
norway_residential_7kW,L2_home,all,18,0.0786
norway_residential_7kW,L2_home,all,19,0.0794
norway_residential_7kW,L2_home,all,20,0.0822
norway_residential_7kW,L2_home,all,21,0.0827
norway_residential_7kW,L2_home,all,22,0.0792
norway_residential_7kW,L2_home,all,23,0.0698
norway_residential,L2_home,all,0,0.0589
norway_residential,L2_home,all,1,0.0495
norway_residential,L2_home,all,2,0.0414
norway_residential,L2_home,all,3,0.0346
norway_residential,L2_home,all,4,0.0302
norway_residential,L2_home,all,5,0.0258
norway_residential,L2_home,all,6,0.0194
norway_residential,L2_home,all,7,0.0138
norway_residential,L2_home,all,8,0.0128
norway_residential,L2_home,all,9,0.0141
norway_residential,L2_home,all,10,0.0156
norway_residential,L2_home,all,11,0.0183
norway_residential,L2_home,all,12,0.0219
norway_residential,L2_home,all,13,0.0249
norway_residential,L2_home,all,14,0.0301
norway_residential,L2_home,all,15,0.0409
norway_residential,L2_home,all,16,0.0566
norway_residential,L2_home,all,17,0.0659
norway_residential,L2_home,all,18,0.067
norway_residential,L2_home,all,19,0.0693
norway_residential,L2_home,all,20,0.0727
norway_residential,L2_home,all,21,0.0745
norway_residential,L2_home,all,22,0.0736
norway_residential,L2_home,all,23,0.0683
palo_alto_public,L1,all,0,0.0062
palo_alto_public,L1,all,1,0.006
palo_alto_public,L1,all,2,0.0056
palo_alto_public,L1,all,3,0.0056
palo_alto_public,L1,all,4,0.0055
palo_alto_public,L1,all,5,0.0053
palo_alto_public,L1,all,6,0.0089
palo_alto_public,L1,all,7,0.028
palo_alto_public,L1,all,8,0.068
palo_alto_public,L1,all,9,0.1213
palo_alto_public,L1,all,10,0.1234
palo_alto_public,L1,all,11,0.1006
palo_alto_public,L1,all,12,0.0851
palo_alto_public,L1,all,13,0.0778
palo_alto_public,L1,all,14,0.0685
palo_alto_public,L1,all,15,0.0587
palo_alto_public,L1,all,16,0.0461
palo_alto_public,L1,all,17,0.0441
palo_alto_public,L1,all,18,0.0387
palo_alto_public,L1,all,19,0.0323
palo_alto_public,L1,all,20,0.0263
palo_alto_public,L1,all,21,0.019
