scenario,year,metric,value,low,high,numerator,denominator,metric_label,source
slow,2040,hh_with_ev_share,0.2529,,,,43251.0,Dwelling units with at least one EV,inferred
slow,2045,hh_with_ev_share,0.3474,,,,43251.0,Dwelling units with at least one EV,inferred
slow,2050,hh_with_ev_share,0.4379,,,,43251.0,Dwelling units with at least one EV,inferred
stall,2026,hh_with_ev_share,0.0686,,,,43251.0,Dwelling units with at least one EV,inferred
stall,2030,hh_with_ev_share,0.097,,,,43251.0,Dwelling units with at least one EV,inferred
stall,2035,hh_with_ev_share,0.1637,,,,43251.0,Dwelling units with at least one EV,inferred
stall,2040,hh_with_ev_share,0.3243,,,,43251.0,Dwelling units with at least one EV,inferred
stall,2045,hh_with_ev_share,0.5301,,,,43251.0,Dwelling units with at least one EV,inferred
stall,2050,hh_with_ev_share,0.6791,,,,43251.0,Dwelling units with at least one EV,inferred
policy,2026,hh_with_ev_share,0.0686,,,,43251.0,Dwelling units with at least one EV,inferred
policy,2030,hh_with_ev_share,0.1773,,,,43251.0,Dwelling units with at least one EV,inferred
policy,2035,hh_with_ev_share,0.4586,,,,43251.0,Dwelling units with at least one EV,inferred
policy,2040,hh_with_ev_share,0.6718,,,,43251.0,Dwelling units with at least one EV,inferred
policy,2045,hh_with_ev_share,0.7683,,,,43251.0,Dwelling units with at least one EV,inferred
policy,2050,hh_with_ev_share,0.8,,,,43251.0,Dwelling units with at least one EV,inferred
nyseg_forecast,2030,as_stated,0.0702,,,,,"NYSEG planning forecast, denominator unstated",E
nyseg_forecast,2040,as_stated,0.3941,,,,,"NYSEG planning forecast, denominator unstated",E
