year,date,geography,access,level,stations,ports,count_basis,source,evidence
2018,2018-12-31,New York State,private,L2,,143.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,private,L2,,241.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,private,L2,,552.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,private,L2,,713.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,private,L2,,804.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,private,L2,,804.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,private,L2,,919.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,private,L2,,1402.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,private,L2,,1283.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,private,all,82.0,134.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,private,all,81.0,137.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,private,all,112.0,160.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,private,all,87.0,121.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,private,all,94.0,157.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,private,all,99.0,254.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,private,all,157.0,586.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,private,all,183.0,757.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,private,all,193.0,847.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,private,all,213.0,870.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,private,all,238.0,987.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,private,all,271.0,1492.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,private,all,258.0,1349.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,public,DCFC,,16.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,public,DCFC,,71.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,public,DCFC,,133.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,public,DCFC,,176.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,public,DCFC,,319.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,public,DCFC,,505.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,public,DCFC,,638.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,public,DCFC,,838.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,public,DCFC,,1147.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,public,DCFC,,1324.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,public,DCFC,,1987.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,public,DCFC,,2815.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,public,DCFC,,3345.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,public,L1,,125.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,public,L1,,92.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,public,L1,,71.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,public,L1,,66.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,public,L1,,40.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,public,L1,,13.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,public,L1,,6.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,public,L1,,15.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,public,L1,,15.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,public,L1,,7.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,public,L1,,11.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,public,L1,,11.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,public,L1,,11.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,public,L2,,797.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,public,L2,,981.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,public,L2,,1313.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,public,L2,,1589.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,public,L2,,2046.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,public,L2,,3759.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,public,L2,,4904.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,public,L2,,6036.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,public,L2,,7526.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,public,L2,,8913.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,public,L2,,13854.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,public,L2,,15564.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,public,L2,,18182.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,public,all,421.0,938.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,public,all,522.0,1144.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,public,all,750.0,1517.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,public,all,867.0,1831.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,public,all,1063.0,2405.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,public,all,1556.0,4277.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,public,all,1879.0,5548.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,public,all,2800.0,6889.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,public,all,3133.0,8688.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,public,all,3685.0,10244.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,public,all,4539.0,15852.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,public,all,5060.0,18390.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,public,all,5533.0,21538.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,all,DCFC,5.0,16.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,all,DCFC,27.0,71.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,all,DCFC,47.0,133.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,all,DCFC,59.0,176.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,all,DCFC,82.0,320.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,all,DCFC,123.0,506.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,all,DCFC,144.0,657.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,all,L1,88.0,139.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,all,L1,66.0,103.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,all,L1,55.0,86.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,all,L1,55.0,81.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,all,L1,39.0,53.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,all,L1,16.0,25.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,all,L1,11.0,21.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,all,L2,490.0,917.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,all,L2,577.0,1107.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,all,L2,814.0,1458.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,all,L2,897.0,1695.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,all,L2,1085.0,2189.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,all,L2,1553.0,4000.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,all,L2,1918.0,5456.0,stations|ports,NLR API v0/historical-date station records (status E),B
