dataset,port_type,day_type,hour,share
palo_alto_public,L1,weekday,15,0.0425
palo_alto_public,L1,weekday,16,0.0303
palo_alto_public,L1,weekday,17,0.0386
palo_alto_public,L1,weekday,18,0.0343
palo_alto_public,L1,weekday,19,0.0249
palo_alto_public,L1,weekday,20,0.0092
palo_alto_public,L1,weekday,21,0.0064
palo_alto_public,L1,weekday,22,0.0015
palo_alto_public,L1,weekday,23,0.0013
palo_alto_public,L1,weekend,0,0.0027
palo_alto_public,L1,weekend,1,0.0
palo_alto_public,L1,weekend,2,0.0
palo_alto_public,L1,weekend,3,0.0
palo_alto_public,L1,weekend,4,0.0
palo_alto_public,L1,weekend,5,0.0
palo_alto_public,L1,weekend,6,0.0108
palo_alto_public,L1,weekend,7,0.0108
palo_alto_public,L1,weekend,8,0.0297
palo_alto_public,L1,weekend,9,0.0486
palo_alto_public,L1,weekend,10,0.0486
palo_alto_public,L1,weekend,11,0.0486
palo_alto_public,L1,weekend,12,0.1216
palo_alto_public,L1,weekend,13,0.1054
palo_alto_public,L1,weekend,14,0.1108
palo_alto_public,L1,weekend,15,0.0784
palo_alto_public,L1,weekend,16,0.0676
palo_alto_public,L1,weekend,17,0.0784
palo_alto_public,L1,weekend,18,0.0946
palo_alto_public,L1,weekend,19,0.0892
palo_alto_public,L1,weekend,20,0.0324
palo_alto_public,L1,weekend,21,0.0135
palo_alto_public,L1,weekend,22,0.0081
palo_alto_public,L1,weekend,23,0.0
palo_alto_public,L2,weekday,0,0.0015
palo_alto_public,L2,weekday,1,0.0006
palo_alto_public,L2,weekday,2,0.0004
palo_alto_public,L2,weekday,3,0.0008
palo_alto_public,L2,weekday,4,0.0032
palo_alto_public,L2,weekday,5,0.019
palo_alto_public,L2,weekday,6,0.0418
palo_alto_public,L2,weekday,7,0.052
palo_alto_public,L2,weekday,8,0.0719
palo_alto_public,L2,weekday,9,0.0693
palo_alto_public,L2,weekday,10,0.0677
palo_alto_public,L2,weekday,11,0.0784
palo_alto_public,L2,weekday,12,0.0743
palo_alto_public,L2,weekday,13,0.0713
palo_alto_public,L2,weekday,14,0.0676
palo_alto_public,L2,weekday,15,0.0609
palo_alto_public,L2,weekday,16,0.0568
palo_alto_public,L2,weekday,17,0.0679
palo_alto_public,L2,weekday,18,0.0747
palo_alto_public,L2,weekday,19,0.0522
palo_alto_public,L2,weekday,20,0.0302
palo_alto_public,L2,weekday,21,0.0208
palo_alto_public,L2,weekday,22,0.0118
palo_alto_public,L2,weekday,23,0.0048
palo_alto_public,L2,weekend,0,0.0035
palo_alto_public,L2,weekend,1,0.0016
palo_alto_public,L2,weekend,2,0.0008
palo_alto_public,L2,weekend,3,0.0004
palo_alto_public,L2,weekend,4,0.0009
palo_alto_public,L2,weekend,5,0.0025
palo_alto_public,L2,weekend,6,0.0112
palo_alto_public,L2,weekend,7,0.0287
palo_alto_public,L2,weekend,8,0.0483
palo_alto_public,L2,weekend,9,0.0706
palo_alto_public,L2,weekend,10,0.0797
palo_alto_public,L2,weekend,11,0.0912
palo_alto_public,L2,weekend,12,0.0951
palo_alto_public,L2,weekend,13,0.0855
palo_alto_public,L2,weekend,14,0.0766
palo_alto_public,L2,weekend,15,0.0682
palo_alto_public,L2,weekend,16,0.0646
palo_alto_public,L2,weekend,17,0.0749
palo_alto_public,L2,weekend,18,0.0709
palo_alto_public,L2,weekend,19,0.0517
palo_alto_public,L2,weekend,20,0.0333
palo_alto_public,L2,weekend,21,0.0209
palo_alto_public,L2,weekend,22,0.0124
palo_alto_public,L2,weekend,23,0.0066
workplace_midwest,L2,weekday,0,0.0009
workplace_midwest,L2,weekday,1,0.0003
workplace_midwest,L2,weekday,2,0.0
workplace_midwest,L2,weekday,3,0.0
workplace_midwest,L2,weekday,4,0.0003
workplace_midwest,L2,weekday,5,0.0
workplace_midwest,L2,weekday,6,0.0
workplace_midwest,L2,weekday,7,0.0
