source,day_type,hour,energy_share
TEMPO_efs_high_ldv,weekend,1,0.0195
TEMPO_efs_high_ldv,weekend,2,0.0142
TEMPO_efs_high_ldv,weekend,3,0.0098
TEMPO_efs_high_ldv,weekend,4,0.0123
TEMPO_efs_high_ldv,weekend,5,0.0199
TEMPO_efs_high_ldv,weekend,6,0.0223
TEMPO_efs_high_ldv,weekend,7,0.0386
TEMPO_efs_high_ldv,weekend,8,0.0544
TEMPO_efs_high_ldv,weekend,9,0.0484
TEMPO_efs_high_ldv,weekend,10,0.0513
TEMPO_efs_high_ldv,weekend,11,0.0588
TEMPO_efs_high_ldv,weekend,12,0.0603
TEMPO_efs_high_ldv,weekend,13,0.0554
TEMPO_efs_high_ldv,weekend,14,0.0685
TEMPO_efs_high_ldv,weekend,15,0.0686
TEMPO_efs_high_ldv,weekend,16,0.0665
TEMPO_efs_high_ldv,weekend,17,0.0555
TEMPO_efs_high_ldv,weekend,18,0.0463
TEMPO_efs_high_ldv,weekend,19,0.052
TEMPO_efs_high_ldv,weekend,20,0.0405
TEMPO_efs_high_ldv,weekend,21,0.0306
TEMPO_efs_high_ldv,weekend,22,0.025
TEMPO_efs_high_ldv,weekend,23,0.0592
