id,station_name,street_address,city,zip,status_code,access_code,access_detail_code,facility_type,owner_type_code,ev_network,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,ports_total,ev_connector_types,ev_pricing,ev_workplace_charging,open_date,date_last_confirmed,updated_at,latitude,longitude,COUNTYFP
459357,Parking Lot DCFC,56 East Main Street,Trumansburg,14886,E,public,,MUNI_GOV,,EVOKE,0,0,2,2,['J1772COMBO'],,False,2025-09-11,2026-09-14,2026-09-14T05:45:02Z,42.5411713,-76.660174,109
460294,FERGUSON ELEC AURORA 2,301 Cayuga Park Ln,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-05-29,2026-09-14,2026-09-14T03:14:31Z,42.446511,-76.509263,109
460295,FERGUSON ELEC AURORA 5,301 Cayuga Park Ln,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-05-29,2026-09-14,2026-09-14T03:14:31Z,42.446534,-76.509279,109
460296,FERGUSON ELEC AURORA 4,301 Cayuga Park Ln,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-05-29,2026-09-14,2026-09-14T03:14:31Z,42.446515,-76.509258,109
460298,FERGUSON ELEC AURORA 1,301 Cayuga Park Lane,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-05-29,2026-09-14,2026-09-14T03:14:44Z,42.447365,-76.508622,109
460299,FERGUSON ELEC AURORA 6,301 Cayuga Park Lane,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-05-29,2026-09-14,2026-09-14T03:14:44Z,42.447245,-76.508642,109
460300,FERGUSON ELEC AURORA 3,301 Cayuga Park Lane,Ithaca,14850,T,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-05-29,2026-09-14,2026-09-14T03:14:44Z,42.447212,-76.508326,109
462029,GT-Dryden Mutual Insurance,12 Ellis Dr,Dryden,13053,E,public,,OFFICE_BLDG,P,QUICKCHARGE,0,6,0,6,['J1772'],,False,2024-10-11,2026-07-15,2026-07-15T18:46:47Z,42.5002,-76.29989,109
463625,Ithaca Ford,504  S. Meadow St. Ithaca,Ithaca,14850,E,public,,,,EV Connect,0,0,2,2,"['J1772COMBO', 'TESLA']",,False,2026-07-14,2026-09-14,2026-09-14T03:54:47Z,42.434992,-76.508718,109
467971,Parking Lot,56 East Main Street,Trumansburg,14886,E,public,,MUNI_GOV,,EVOKE,0,2,0,2,['J1772'],,False,2025-09-11,2026-09-14,2026-09-14T05:45:02Z,42.5411713,-76.660174,109
467972,Parking Lot,1 Corey Street,Trumansburg,14886,E,public,,REC_SPORTS_FACILITY,,EVOKE,0,2,0,2,['J1772'],,False,2025-09-11,2026-09-14,2026-09-14T05:45:02Z,42.5422159,-76.6663553,109
468044,Parking Lot,957 Mitchell Street,Ithaca,14850,E,public,,,,EVOKE,0,2,0,2,['J1772'],,False,2026-08-06,2026-09-14,2026-09-14T05:45:20Z,42.436448,-76.4654649,109
