parcel,E_ev,peak_kw_p50,peak_kw_p90,prob_any_ev_charging
50070001300000030160000000,0.117,0.0,0.0,0.067
50070001300000030170000000,0.045,0.0,0.0,0.067
50070001300000030180000000,0.0,0.0,0.0,0.0
50070001300000030190000000,0.097,0.0,0.0,0.0
50070001300000030200000000,0.168,0.0,3.144,0.2
50070001300000030210000000,0.156,0.0,7.2,0.2
50070001400000010020000000,0.049,0.0,0.0,0.0
50070001400000010030000000,0.189,0.0,2.88,0.133
50070001400000010040000000,0.168,0.0,3.6,0.167
50070001400000010050000000,0.109,0.0,0.0,0.067
50070001400000010060000000,0.293,0.0,7.2,0.233
50070001400000010070000000,0.049,0.0,0.0,0.033
50070001400000010080000000,0.259,0.0,7.2,0.2
50070001400000010090000000,0.067,0.0,0.0,0.033
50070001400000010100000000,0.466,0.0,7.2,0.4
50070001400000010110000000,0.146,0.0,2.8,0.133
50070001400000010120000000,0.082,0.0,0.0,0.033
50070001400000010130000000,0.0,0.0,0.0,0.0
50070001400000010140000000,0.306,0.0,7.2,0.267
50070001400000010150000000,0.068,0.0,0.222,0.1
50070001400000020010000000,0.168,0.0,1.76,0.167
50070001400000020020000000,0.049,0.0,0.14,0.1
50070001400000020030000000,0.159,0.0,0.0,0.033
50070001400000020040000000,0.407,0.0,7.336,0.467
50070001400000020050000000,0.336,0.0,7.2,0.167
50070001400000020060000000,0.146,0.0,1.4,0.133
50070001400000020080000000,0.085,0.0,0.0,0.0
50070001400000020100000000,0.167,0.0,0.0,0.033
50070001400000020110000000,0.146,0.0,0.36,0.1
50070001400000020120000000,0.247,0.0,0.0,0.067
50070001400000020130000000,0.053,0.0,0.0,0.0
50070001400000020140000000,0.109,0.0,0.36,0.1
50070001400000020150000000,0.189,0.0,3.24,0.267
50070001400000020160000000,0.24,0.0,2.8,0.267
50070001400000020170000000,0.156,0.0,3.24,0.2
50070001400000020180000000,0.109,0.0,0.28,0.1
50070001400000020190000000,0.117,0.0,0.0,0.033
50070001400000020200000000,0.067,0.0,0.0,0.033
50070001400000020210000000,0.168,0.0,0.0,0.067
50070001400000020220000000,0.146,0.0,0.0,0.067
50070001400000030010000000,0.131,0.0,4.581,0.2
50070001400000030030000000,0.127,0.0,0.28,0.1
50070001400000030040000000,0.058,0.0,0.0,0.033
50070001400000030050000000,0.156,0.0,2.8,0.167
50070001400000030060000000,0.067,0.0,0.0,0.067
50070001400000030070000000,0.097,0.0,0.0,0.0
50070001400000030080000000,0.054,0.0,0.0,0.067
50070001400000030090000000,0.366,0.0,3.24,0.2
50070001400000030100000000,0.298,0.0,7.2,0.3
50070001400000030110000000,0.049,0.0,2.8,0.133
50070001400000030120000000,0.0,0.0,0.0,0.0
50070001400000030130000000,0.097,0.0,0.0,0.033
50070001400000030140000000,0.236,0.0,6.56,0.3
50070001400000030150000000,0.168,0.0,0.0,0.0
50070001400000030160000000,0.049,0.0,0.0,0.033
50070001400000030170000000,0.13,0.0,7.2,0.3
50070001400000030180000000,0.168,0.0,1.54,0.133
50070001400000030190000000,0.158,0.0,0.169,0.1
50070001400000030200000000,0.156,0.0,2.8,0.133
50070001400000040050000000,0.228,0.0,1.54,0.133
50070001400000040060000000,0.227,0.0,0.36,0.1
50070001400000040070000000,0.062,0.0,0.0,0.067
50070001400000040080000000,0.28,0.0,7.2,0.233
50070001400000040090000000,0.131,0.0,0.0,0.0
50070001400000040100000000,0.049,0.0,0.0,0.067
50070001400000040110000000,0.0,0.0,0.0,0.0
50070001400000040120000000,0.127,0.0,7.2,0.167
50070001400000040140000000,0.293,0.0,9.822,0.467
50070001400000040150000000,0.168,0.0,2.8,0.133
50070001400000050010000000,0.265,0.0,1.54,0.133
50070001400000050020000000,0.331,0.0,4.5,0.267
50070001400000050030000000,0.265,0.0,7.2,0.267
50070001400000050040000000,0.168,0.0,3.188,0.133
50070001400000050050000000,0.181,0.0,0.0,0.033
50070001400000050060000000,0.146,0.0,0.0,0.033
50070001400000050070000000,0.168,0.0,7.2,0.333
50070001400000050080000000,0.228,0.0,0.14,0.1
50070001400000050090010000,0.196,0.0,0.14,0.1
50070001400000050090020000,0.131,0.0,0.14,0.1
50070001400000050100000000,0.207,0.0,3.24,0.133
50070001400000050110000000,0.049,0.0,0.0,0.067
50070001400000050120000000,0.097,0.0,0.0,0.033
50070001400000050140000000,0.115,0.0,0.0,0.067
50070001400000050150010000,0.265,0.0,4.033,0.167
50070001400000050160000000,0.143,0.0,3.96,0.133
50070001400000050170000000,0.216,0.0,2.88,0.167
50070001400000050180000000,0.292,0.0,2.8,0.133
50070001400000050190000000,0.165,0.0,0.0,0.033
50070001400000050200000000,0.265,0.0,1.54,0.133
50070001500000010040000000,0.156,0.0,3.24,0.133
50070001500000010050000000,0.207,0.0,2.94,0.167
50070001500000010060000000,0.054,0.0,0.0,0.033
50070001500000010070000000,0.059,0.0,0.0,0.0
50070001500000010100000000,0.136,0.0,0.287,0.1
50070001500000010110000000,0.277,0.0,7.2,0.3
50070001500000010120000000,0.178,0.0,7.2,0.2
50070001500000010130000000,0.402,0.0,2.8,0.2
50070001500000020010000000,0.062,0.0,0.0,0.033
50070001500000020020000000,0.146,0.0,7.2,0.167
50070001500000020030000000,0.15,0.0,0.28,0.1
50070001500000020040000000,0.109,0.0,3.24,0.133
50070001500000020050000000,0.049,0.0,0.0,0.067
50070001500000020060000000,0.468,0.0,7.2,0.433
50070001500000020070000000,0.092,0.0,0.0,0.033
50070001500000030010000000,0.084,0.0,0.0,0.033
50070001500000030020000000,0.12,0.0,2.8,0.133
50070001500000030030000000,0.062,0.0,0.0,0.0
50070001500000030040000000,0.185,0.0,7.2,0.167
50070001500000030050000000,0.216,0.0,2.88,0.233
50070001500000030060000000,0.168,0.0,1.414,0.133
50070001500000030070000000,0.265,0.0,7.2,0.233
50070001500000030080000000,0.216,0.0,5.87,0.133
50070001500000030090000000,0.097,0.0,0.0,0.0
50070001500000030100000000,0.165,0.0,0.67,0.1
50070001500000030110000000,0.265,0.0,7.2,0.267
50070001500000030120000000,0.127,0.0,3.24,0.167
50070001500000030130000000,0.097,0.0,2.8,0.133
50070001500000030140020000,0.277,0.0,7.2,0.233
50070001500000030150000000,0.207,0.0,0.28,0.1
50070001500000040030000000,0.402,0.0,1.54,0.167
50070001500000040050000000,0.189,0.0,1.98,0.133
50070001500000040060000000,0.249,0.0,6.75,0.3
50070001500000040070000000,0.168,0.0,0.0,0.067
50070001500000040080000000,0.265,0.0,4.5,0.2
50070001500000040090000000,0.265,0.0,2.88,0.167
50070001500000040100000000,0.216,0.0,2.8,0.167
50070001500000040110000000,0.168,0.0,0.0,0.067
50070001500000040120000000,0.158,0.0,0.0,0.0
50070001500000040130000000,0.146,0.0,0.28,0.1
50070001600000010150000000,0.273,0.0,2.8,0.167
50070001800000010010000000,0.09,0.0,0.0,0.067
50070001800000020010000000,0.036,0.0,0.0,0.0
50070001800000020020000000,0.087,0.0,0.0,0.067
50070001800000020030000000,0.152,0.0,3.84,0.2
50070001800000020040000000,0.203,0.0,2.88,0.2
50070001800000020050000000,0.213,0.0,0.28,0.1
50070001800000020060000000,0.039,0.0,0.28,0.1
50070001800000020070000000,0.096,0.0,0.0,0.033
50070001800000020080010000,0.058,0.0,0.0,0.0
50070001800000020090000000,0.135,0.0,2.88,0.133
50070001800000020100000000,0.174,0.0,3.96,0.267
50070001800000030010000000,0.241,0.0,2.88,0.2
50070001900000010010000000,0.077,0.0,0.28,0.1
50070001900000010020000000,0.064,0.0,0.14,0.1
50070001900000010030000000,0.027,0.0,0.0,0.033
50070001900000010040000000,0.082,0.0,0.28,0.1
50070001900000020010000000,0.258,0.0,2.88,0.167
50070001900000020020000000,0.064,0.0,0.0,0.033
50070001900000020040020000,0.077,0.0,0.0,0.0
50070001900000030010000000,0.064,0.0,0.0,0.033
50070001900000030040000000,0.035,0.0,0.0,0.0
50070001900000030050000000,0.127,0.0,2.8,0.133
50070001900000040010000000,0.061,0.0,1.98,0.167
50070001900000040020000000,0.256,0.0,0.14,0.1
50070001900000040030000000,0.205,0.0,3.6,0.233
50070001900000040040020000,0.167,0.0,1.54,0.133
50070001900000040050000000,0.061,0.0,0.0,0.0
50070001900000040060020000,0.08,0.0,0.0,0.067
50070001900000040060030000,0.197,0.0,1.54,0.133
50070001900000040070030000,0.34,0.0,7.2,0.267
50070001900000040070040000,0.373,0.0,7.34,0.4
50070001900000040070050000,0.155,0.0,0.0,0.067
50070002000000010010000000,0.03,0.0,0.0,0.0
50070002000000010020000000,0.144,0.0,3.6,0.167
50070002000000010030000000,0.048,0.0,0.0,0.067
50070002000000010040000000,0.039,0.0,0.0,0.067
50070002000000020010000000,0.243,0.0,3.96,0.2
50070002000000020030020000,0.283,0.0,7.2,0.233
50070002000000020030040000,0.243,0.0,5.148,0.2
50070002000000020030060000,0.251,0.0,7.2,0.267
50070002000000020030070000,0.176,0.0,2.244,0.167
50070002000000020030080000,0.194,0.0,7.2,0.233
50070002000000020030090000,0.18,0.0,1.54,0.133
50070002000000020030110000,0.137,0.0,2.8,0.133
50070002000000020040000000,0.365,0.0,8.602,0.433
50070002000000020060000000,0.31,0.0,3.24,0.167
50070002000000020080000000,0.243,0.0,7.2,0.2
50070002000000020090000000,0.244,0.0,2.8,0.167
50070002000000030010050000,0.18,0.0,0.28,0.1
50070002000000030010070000,0.14,0.0,0.0,0.067
50070002000000030010080000,0.215,0.0,2.8,0.167
50070002000000030020020000,0.155,0.0,3.24,0.2
50070002100000010010000000,0.137,0.0,2.8,0.167
50070002100000010020000000,0.423,0.0,7.58,0.467
50070002100000020010000000,0.061,0.0,0.0,0.033
50070002100000020020000000,0.252,0.0,2.8,0.167
50070002100000020030000000,0.274,0.0,7.34,0.3
50070002100000020050000000,0.355,0.0,7.2,0.233
50070002100000020060000000,0.36,0.0,7.2,0.333
50070002100000020070000000,0.296,0.0,4.266,0.167
50070002100000020080000000,0.168,0.0,1.4,0.133
50070002100000030010000000,0.039,0.0,0.0,0.0
50070002100000030020000000,0.039,0.0,0.0,0.0
50070002100000030030000000,0.078,0.0,0.0,0.0
50070002100000030040000000,0.096,0.0,0.28,0.1
50070002100000030060000000,0.045,0.0,0.0,0.033
50070002100000030080000000,0.17,0.0,2.8,0.167
50070002100000030090000000,0.339,0.0,8.203,0.4
50070002100000040030000000,0.054,0.0,0.0,0.0
50070002100000040040020000,0.107,0.0,1.54,0.133
50070002100000040050000000,0.087,0.0,0.0,0.067
50070002500000030010010000,0.03,0.0,0.0,0.033
50070002500000030010210000,0.0,0.0,0.0,0.0
50070002500000040020010000,0.08,0.0,0.28,0.1
50070002500000040030000000,0.06,0.0,0.0,0.033
50070002600000010010000000,0.168,0.0,3.24,0.233
50070002600000010020000000,0.234,0.0,2.8,0.167
50070002600000010030000000,0.407,0.0,9.18,0.433
50070002600000010040000000,0.189,0.0,1.4,0.133
50070002600000010050000000,0.265,0.0,7.2,0.267
50070002600000010060000000,0.097,0.0,2.8,0.167
50070002600000010070000000,0.097,0.0,0.0,0.033
50070002600000010080000000,0.123,0.0,0.0,0.067
50070002600000010090000000,0.062,0.0,0.0,0.0
50070002600000010100000000,0.097,0.0,2.8,0.133
50070002600000010110000000,0.12,0.0,0.0,0.033
50070002600000010120000000,0.181,0.0,0.28,0.1
50070002600000010130000000,0.097,0.0,2.8,0.133
50070002600000010140000000,0.154,0.0,0.166,0.1
50070002600000020010000000,0.049,0.0,0.0,0.067
50070002600000020020000000,0.049,0.0,0.0,0.033
50070002600000020030000000,0.109,0.0,0.0,0.067
50070002600000020040000000,0.097,0.0,0.0,0.033
50070002600000020050000000,0.109,0.0,0.0,0.033
50070002600000020060000000,0.097,0.0,0.0,0.033
50070002600000020070000000,0.053,0.0,0.0,0.067
50070002600000020080000000,0.227,0.0,1.54,0.133
50070002600000030010000000,0.127,0.0,1.54,0.167
50070002600000030020000000,0.127,0.0,0.0,0.067
50070002600000030030000000,0.28,0.0,8.836,0.367
50070002600000030040000000,0.343,0.0,7.2,0.367
50070002600000030050000000,0.127,0.0,0.0,0.067
50070002600000030060000000,0.059,0.0,0.0,0.067
50070002600000030070000000,0.061,0.0,0.0,0.0
50070002600000030080000000,0.053,0.0,0.0,0.0
50070002600000030090000000,0.167,0.0,0.0,0.067
50070002600000030120000000,0.189,0.0,3.96,0.133
50070002600000030140000000,0.156,0.0,0.28,0.1
50070002600000030150000000,0.084,0.0,0.0,0.0
50070002600000030160000000,0.196,0.0,0.0,0.033
50070002600000030170000000,0.053,0.0,0.0,0.067
50070002600000030180000000,0.084,0.0,0.0,0.0
50070002600000030190000000,0.128,0.0,3.6,0.133
50070002600000030200000000,0.336,0.0,4.796,0.267
50070002600000050010000000,0.336,0.0,4.049,0.233
50070002600000050020000000,0.343,0.0,7.2,0.333
50070002600000050030000000,0.277,0.0,2.8,0.267
50070002600000050040000000,0.146,0.0,2.8,0.167
50070002600000050050000000,0.107,0.0,0.0,0.0
50070002600000050060000000,0.168,0.0,3.084,0.3
50070002600000050070000000,0.265,0.0,3.6,0.167
50070002600000050080000000,0.097,0.0,0.28,0.1
50070002600000050090000000,0.054,0.0,0.0,0.0
50070002600000050110020000,0.402,0.0,7.2,0.267
50070002600000050120000000,0.228,0.0,0.28,0.1
50070002600000050130000000,0.231,0.0,3.6,0.167
50070002600000050140000000,0.123,0.0,0.0,0.033
50070002600000050150000000,0.136,0.0,2.8,0.133
50070002600000050160000000,0.107,0.0,0.0,0.033
50070002600000050170000000,0.466,0.0,3.6,0.267
50070002700000010010000000,0.053,0.0,0.0,0.0
50070002700000010020000000,0.084,0.0,0.0,0.0
50070002700000010030000000,0.109,0.0,0.28,0.1
50070002700000010060000000,0.268,0.0,7.2,0.2
50070002700000010070000000,0.188,0.0,2.565,0.133
50070002700000010080000000,0.167,0.0,0.0,0.0
50070002700000010090000000,0.121,0.0,0.0,0.067
50070002700000010100000000,0.053,0.0,0.14,0.1
50070002700000010110000000,0.097,0.0,0.0,0.067
50070002700000010120000000,0.158,0.0,7.2,0.2
50070002700000010130000000,0.24,0.0,7.338,0.2
50070002700000010140000000,0.053,0.0,0.28,0.1
50070002700000010150010000,0.277,0.0,7.2,0.2
50070002700000010150020000,0.045,0.0,0.0,0.033
50070002700000020010000000,0.142,0.0,0.0,0.067
50070002700000020020000000,0.227,0.0,7.2,0.2
