site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
workplace_unlisted_parcel,parcel_50070006300000050020000000,482,42.442,-76.486,,,2238.329,2.072,
workplace_unlisted_parcel,parcel_50070006400000100030000000,613,42.441,-76.485,,,2925.034,2.708,
workplace_unlisted_parcel,parcel_50070006900000010040000000,482,42.44,-76.494,,,1066.264,0.987,
workplace_unlisted_parcel,parcel_50070006900000010110000000,481,42.44,-76.495,,,1982.29,1.835,
workplace_unlisted_parcel,parcel_50070006900000010070000000,482,42.44,-76.495,,,1328.925,1.23,
workplace_unlisted_parcel,parcel_50070006900000010060020000,414,42.44,-76.495,,,3472.691,3.215,
workplace_unlisted_parcel,parcel_50070006100000040050000000,650,42.441,-76.496,,,8292.491,7.676,
workplace_unlisted_parcel,parcel_50070007000000020100000000,463,42.44,-76.497,,,2230.076,2.064,
workplace_unlisted_parcel,parcel_50070007000000030150000000,463,42.44,-76.497,,,1565.986,1.45,
workplace_unlisted_parcel,parcel_50070007000000040040220000,464,42.439,-76.496,,,2702.38,2.501,
workplace_unlisted_parcel,parcel_50070007000000040040210001,437,42.439,-76.496,,,2255.908,2.088,
workplace_unlisted_parcel,parcel_50070007000000040050010000,452,42.439,-76.497,,,5020.585,4.647,
workplace_unlisted_parcel,parcel_50070007000000020050000000,464,42.44,-76.498,,,992.264,0.918,
workplace_unlisted_parcel,parcel_50070007000000050010000000,481,42.439,-76.499,,,2377.796,2.201,
workplace_unlisted_parcel,parcel_50070007000000050230000000,652,42.439,-76.499,,,1375.554,1.273,
workplace_unlisted_parcel,parcel_50070007000000080010000000,611,42.438,-76.498,,,3218.983,2.98,
workplace_unlisted_parcel,parcel_50070007000000080110000000,642,42.438,-76.497,,,2176.499,2.015,
workplace_unlisted_parcel,parcel_50070007000000040050230000,437,42.439,-76.497,,,7848.351,7.265,
workplace_unlisted_parcel,parcel_50070007000000040040030000,414,42.439,-76.496,,,4697.167,4.348,
workplace_unlisted_parcel,parcel_50070008100000030020020000,410,42.437,-76.497,,,969.089,0.897,
workplace_unlisted_parcel,parcel_50070008100000030010000000,662,42.437,-76.498,,,1338.717,1.239,
workplace_unlisted_parcel,parcel_50070008100000020010000000,437,42.437,-76.499,,,10378.297,9.607,
workplace_unlisted_parcel,parcel_50070008100000020010000001,464,42.437,-76.499,,,1025.837,0.95,
workplace_unlisted_parcel,parcel_50070008000000100010000000,633,42.438,-76.5,,,3388.059,3.136,
workplace_unlisted_parcel,parcel_50070007000000070040020000,414,42.438,-76.499,,,6667.333,6.172,
workplace_unlisted_parcel,parcel_50070008000000070010000000,642,42.436,-76.502,,,2558.81,2.369,
workplace_unlisted_parcel,parcel_50070010700000010030000000,642,42.433,-76.492,,,1060.342,0.982,
workplace_unlisted_parcel,parcel_50070010600000010080020000,710,42.43,-76.501,,,21581.694,19.977,
workplace_unlisted_parcel,parcel_50070010700000010010000000,612,42.434,-76.494,,,3277.922,3.034,
workplace_unlisted_parcel,parcel_50070011400000010010000000,449,42.428,-76.493,,,1000.191,0.926,
workplace_unlisted_parcel,parcel_50070010400000010010020000,452,42.431,-76.507,,,1241.915,1.15,
workplace_unlisted_parcel,parcel_50070011700000010010020000,452,42.429,-76.51,,,7024.231,6.502,
workplace_unlisted_parcel,parcel_50070011700000030010000000,485,42.429,-76.506,,,1023.226,0.947,
workplace_unlisted_parcel,parcel_50070011700000020010020000,452,42.43,-76.507,,,1927.641,1.784,
workplace_unlisted_parcel,parcel_50070012200000020020000000,431,42.427,-76.509,,,1285.0,1.189,
workplace_unlisted_parcel,parcel_50070011800000010010020000,453,42.427,-76.513,,,8919.744,8.257,
workplace_unlisted_parcel,parcel_50070011800000010020040000,452,42.429,-76.513,,,1864.785,1.726,
workplace_unlisted_parcel,parcel_50070012500000020040000000,414,42.425,-76.513,,,1790.551,1.657,
workplace_unlisted_parcel,parcel_50070012500000010010010000,452,42.425,-76.515,,,1526.772,1.413,
workplace_unlisted_parcel,parcel_50070012500000010030010000,415,42.424,-76.516,,,1497.722,1.386,
